;NUTS_ID;Ln_BA;Fr_An_Observed;Fr_Li_Observed;Fr_An_Predicted;Fr_Li_Predicted;std;BA_Human_km2;BA_Lightning_km2
1017;NL342;11.512915433631191;1.0;0.0;;;;0.00041239529525875643;4.124035562374541e-09
1018;NL411;11.512915433631191;1.0;0.0;;;;0.0026118368699721253;2.611889189478578e-08
1019;NL412;11.512915433631191;1.0;0.0;;;;0.0;0.0
1020;HR033;4.079668002105582;0.9833682148817824;0.016631785118217612;;;;0.21899185961565856;0.003703826803273663
1021;FRK23;1.3403421201692598;0.7925461973471445;0.2074538026528555;;;;0.001743176488266043;0.0004562870813036579
1022;FRH04;4.8246277523988566;0.9920344176880534;0.00796558231194655;;;;0.005454858903660414;4.380002026383844e-05
1023;NL413;11.512915433631191;1.0;0.0;;;;0.0;0.0
1024;NL414;0.5532660003070027;0.6348929955625456;0.36510700443745436;;;;0.0;0.0
1025;NL421;11.512915433631191;1.0;0.0;;;;0.0006873254920979276;6.873392603885288e-09
1026;NL422;1.9924301646902072;0.8800000000000001;0.11999999999999988;;;;0.0;0.0
1027;NL423;11.512915433631191;1.0;0.0;;;;0.0;0.0
1028;FRL03;0.3928429106738126;0.5969668844269193;0.40303311557308075;;;;0.00902692253743868;0.006094389503353018
1029;FRI22;11.512915433631191;1.0;0.0;;;;0.004673813346265908;4.673906970655006e-08
1030;FRF34;-0.5621189181535415;0.3630573248407643;0.6369426751592357;;;;0.0010480724095441607;0.0018387235255160723
1031;LV007;7.935125040793286;0.9996421808704508;0.00035781912954924167;;;;0.06389903750842746;2.287248219197402e-05
1032;NL131;11.512915433631191;1.0;0.0;;;;0.0;0.0
1033;HR031;3.5687410839712412;0.9725816380107803;0.027418361989219653;;;;0.003342434189433028;9.42276380196303e-05
1034;FRK24;-0.6350193775353535;0.3463732820360743;0.6536267179639257;;;;0.006523215743597328;0.012309691070843239
1035;FRH01;11.512915433631191;1.0;0.0;;;;0.0;0.0
1036;FRI11;1.0326876115236028;0.7374366135121653;0.2625633864878347;;;;0.00030411843117878596;0.00010828098811553285
1037;LT026;7.156145435745847;0.9992205524724076;0.0007794475275924029;;;;0.04244403148541666;3.310870189819626e-05
1038;LT027;11.512915433631191;1.0;0.0;;;;0.008522836102014302;8.523006828943525e-08
1039;FRL04;5.59839289736383;0.9963098562553001;0.003690143744699892;;;;0.16887069613048267;0.0006254651994824223
1040;FRI23;11.512915433631191;1.0;0.0;;;;0.0;0.0
1041;FRK25;0.6404493915594964;0.654855039116429;0.34514496088357105;;;;0.0001800412252357158;9.48917209604967e-05
1042;FRI12;0.05103434457716058;0.5127558177159253;0.48724418228407473;;;;0.07450447764979454;0.07079758441490383
1043;HR041;5.59959499605926;0.9963142731673893;0.003685726832610703;;;;0.0001369598092296242;5.066638684820494e-07
1044;FRL05;4.290681518972323;0.9864894466635855;0.013510553336414488;;;;0.2020577452222049;0.0027672996939735184
1045;FRI31;3.8132601408500797;0.9784007369354266;0.021599263064573382;;;;0.0018829621801634171;4.1568443210071365e-05
1046;NL111;11.512915433631191;1.0;0.0;;;;0.0;0.0
1047;FRK26;11.512915433631191;1.0;0.0;;;;0.0012371858857762696;1.2372106687015202e-08
1048;FRG02;3.0647251450409425;0.9554140127388535;0.04458598726114649;;;;0.007486231496744007;0.0003493574698480535
1049;NL124;2.0844290831908743;0.8893805309734513;0.11061946902654873;;;;0.0;0.0
1050;NL125;11.512915433631191;1.0;0.0;;;;0.0;0.0
1051;NL126;11.512915433631191;1.0;0.0;;;;0.0;0.0
1052;FRL06;-0.6261675881720967;0.3483800326243819;0.6516199673756181;;;;0.0029692156117259736;0.005553705720356618
1053;HR032;2.501345380678214;0.9242360823610974;0.07576391763890256;;;;0.18028604238955903;0.014778882936653859
1054;NL132;11.512915433631191;1.0;0.0;;;;0.0;0.0
1055;NL133;11.512915433631191;1.0;0.0;;;;0.0;0.0
1056;NL211;6.736966958001916;0.9988151658767773;0.0011848341232226778;;;;0.0;0.0
1057;NL212;11.512915433631191;1.0;0.0;;;;0.0;0.0
1058;NL213;11.512915433631191;1.0;0.0;;;;0.0;0.0
1059;NL221;9.517714771524028;0.9999264678848487;7.353211515126468e-05;;;;0.0;0.0
1060;FRG05;11.512915433631191;1.0;0.0;;;;0.00041239529525875643;4.124035562374541e-09
1061;FRH02;11.512915433631191;1.0;0.0;;;;0.0013746509841958553;1.3746785207770576e-08
1062;NL225;11.512915433631191;1.0;0.0;;;;0.0;0.0
1063;NL226;7.2247534057679434;0.9992721979621543;0.0007278020378457262;;;;0.0;0.0
1064;FR108;11.512915433631191;1.0;0.0;;;;0.019932439270839906;1.9932838551256493e-07
1065;FRI21;3.095593429681341;0.956710611954531;0.043289388045469;;;;0.0;0.0
1066;FRI14;2.0114253152428185;0.8819914533960486;0.11800854660395144;;;;0.013579356492915091;0.0018168884940728165
1067;NL310;11.512915433631191;1.0;0.0;;;;0.0;0.0
1068;NL321;11.512915433631191;1.0;0.0;;;;0.0;0.0
1069;NL323;11.512915433631191;1.0;0.0;;;;0.0;0.0
1070;NL324;11.512915433631191;1.0;0.0;;;;0.0;0.0
1071;NL327;11.512915433631191;1.0;0.0;;;;0.0;0.0
1072;NL328;11.512915433631191;1.0;0.0;;;;0.0;0.0
1073;FRL02;2.040247440928759;0.884958461568521;0.11504153843147902;;;;0.0013381733040516573;0.00017395790002751235
1074;FRB03;-2.6741486494265287;0.06451612903225806;0.935483870967742;;;;0.009099393638623046;0.13194120776003404
1075;FRK11;11.512915433631191;1.0;0.0;;;;0.0;0.0
1076;FRC14;5.030437921392444;0.9935064935064936;0.00649350649350644;;;;0.14435854218116137;0.0009435198835369973
1077;FRF21;11.512915433631191;1.0;0.0;;;;0.00247437177155254;2.4744213374030405e-08
1078;FRG04;11.512915433631191;1.0;0.0;;;;0.004536348247846322;4.536439118622837e-08
1079;FRK12;6.065401028682921;0.9976835516828767;0.0023164483171232986;;;;0.004251589212652957;9.871453388338863e-06
1080;FRD22;11.512915433631191;1.0;0.0;;;;0.0015121160826154412;1.512146372852595e-08
1081;FRD12;-3.392428891842209;0.032532920216886134;0.9674670797831139;;;;0.0;0.0
1082;FRH03;4.400589057805363;0.9878786206873491;0.012121379312650893;;;;0.0;0.0
1083;FRJ22;2.6679089032506536;0.935106253709165;0.064893746290835;;;;0.005527467622783422;0.00038359072043514953
1084;FRF11;11.512915433631191;1.0;0.0;;;;0.010722277676727673;1.0722492462152122e-07
1085;FRI15;3.7157510321198366;0.9762410685634582;0.02375893143654184;;;;0.9271906782130226;0.022565184421794227
1086;FRK27;-0.134120167427483;0.46652013004028764;0.5334798699597123;;;;0.0012826175381181653;0.0014667119238439608
1087;FI1D1;0.4837020458365798;0.6186216770889063;0.38137832291109375;;;;0.0073984573914359355;0.004561125768099313
1088;FRC21;11.512915433631191;1.0;0.0;;;;0.012234393759343112;1.22346388350264e-07
1089;FRI33;7.252357641686627;0.9992919995954284;0.0007080004045716404;;;;0.016621666760324075;1.1776484546789645e-05
1090;FRL01;4.397312985464747;0.9878393287519076;0.012160671248092392;;;;0.0329981336082035;0.0004062193546363335
1091;FRF23;11.512915433631191;1.0;0.0;;;;0.030929647144406748;3.0930266717646426e-07
1092;FI1D7;0.39761172457577654;0.5981137162760753;0.40188628372392465;;;;0.006659867230133955;0.004474917090812658
1093;FRI34;4.5995169817963335;0.9900434379423105;0.009956562057689466;;;;0.005443911185114132;5.474773881011981e-05
1094;FRM02;4.804925649906756;0.9918772101751737;0.008122789824826282;;;;0.2559286906533526;0.002095879351792951
1095;FI1D2;0.2954481168341541;0.5733293958747974;0.42667060412520263;;;;0.01860000251395283;0.013842085137200269
